technicianid,name,phonenumber,email,skills,experience,certifications,address,location,ratingsreceived
25,Artawan Rahimah,+62842955974119,artawanrahimah@gmail.com,"AC Maintenance, Electrical Installation",1,Sertifikasi Teknisi Refrigerasi dan Tata Udara,Gg. Monginsidi No. 6,Dumai,5.0
26,Carla Gilda Putra,+6281170312080,carlaputra@gmail.com,"AC Repair, Plumbing Repair",4,Sertifikasi Teknisi Refrigerasi dan Tata Udara,Gg. Raya Ujungberung No. 182,Jayapura,4.8
27,Hartana Handayani,+6285710574584,hartanahandayani@gmail.com,"Electrical Installation, AC Repair",9,,Jl. Medokan Ayu No. 2,Bogor,4.8
28,Atmaja Ira Uyainah,+6284976299359,atmajauyainah@gmail.com,"AC Installation, Plumbing Maintenance",9,,Jl. Moch. Toha No. 04,Salatiga,4.3
29,Estiono Silvia Melani,+62827280076592,estionomelani@gmail.com,"Plumbing Maintenance, Electrical Repair",2,Sertifikasi K3 Teknisi Listrik,Gg. Pacuan Kuda No. 73,Pematangsiantar,4.2
30,Shania Tamba,+6288342523928,shaniatamba@gmail.com,"AC Maintenance, Plumbing Repair",2,,Jalan Raya Ujungberung No. 1,Lubuklinggau,3.5
31,Raisa Namaga,+6288001984150,raisanamaga@gmail.com,"Plumbing Repair, Washing Machine Installation",6,"Sertifikat Kompetensi BNSP Teknisi Plumbing & Drainase, Sertifikasi LSP Elektronika Teknisi Mesin Cuci",Jalan Siliwangi No. 0,Banda Aceh,3.7
32,Patricia Muhammad Hasanah,+62844954075475,patriciahasanah@gmail.com,"Electrical Installation, Refrigerator Installation",5,"Sertifikasi K3 Teknisi Listrik, Sertifikasi Teknisi Refrigerasi",Gg. Rungkut Industri No. 6,Batu,4.3
33,Prabawa Prakasa,+6284049504611,prabawaprakasa@gmail.com,"Computer Repair, AC Repair",2,"Sertifikat Kompetensi BNSP Teknisi Komputer Spesialis Senior, Sertifikasi Profesi Teknik Pendingin dan Tata Udara",Gang Monginsidi No. 511,Cimahi,4.6
34,Balangga Mahmud Prabowo,+6282009134000,balanggaprabowo@gmail.com,"Plumbing Maintenance, Electrical Repair",5,Sertifikasi K3 Teknisi Listrik,Gang W.R. Supratman No. 5,Langsa,4.5
35,Najam Uwais,+62811583083848,najamuwais@gmail.com,"Electrical Repair, Computer Maintenance",5,Sertifikat Kompetensi BNSP Teknisi Komputer Muda,Jl. Cikutra Timur No. 56,Pekanbaru,5.0
36,Rudi Mahendra,+62838887563609,rudimahendra@gmail.com,"Electrical Repair, Washing Machine Installation",4,"Sertifikasi K3 Teknisi Listrik, Sertifikasi LSP Elektronika Teknisi Mesin Cuci",Jalan Kiaracondong No. 29,Semarang,4.6
37,Unggul Laila Wibowo,+6284344501943,unggulwibowo@gmail.com,"AC Installation, Washing Machine Repair",3,Sertifikasi LSP Elektronika Teknisi Mesin Cuci,Jalan Pacuan Kuda No. 684,Lhokseumawe,4.1
38,Tri Puspasari,+6288161906014,tripuspasari@gmail.com,"Refrigerator Repair, Computer Repair",4,,Gang Gegerkalong Hilir No. 377,Tasikmalaya,4.6
39,Lamar Pranowo,+6287052801786,lamarpranowo@gmail.com,"Refrigerator Installation, Computer Installation",3,,Jalan Cikapayang No. 055,Padang,4.9
40,Waluyo Dadi Pranowo,+62862353484455,waluyopranowo@gmail.com,"Electrical Maintenance, Computer Repair",5,Sertifikat Kompetensi BNSP Teknisi Komputer Muda,Jl. Cikutra Barat No. 9,Cilegon,3.9
41,Gambira Usman Sihotang,+6285125492076,gambirasihotang@gmail.com,"Plumbing Installation, Computer Repair",1,SKA Ahli Teknik Plambing dan Pompa Mekanika,Jl. Moch. Toha No. 903,Sawahlunto,3.6
42,Wahyu Endra Tampubolon,+6282961757293,wahyutampubolon@gmail.com,"Electrical Installation, AC Installation",2,,Jalan Ronggowarsito No. 003,Bima,4.1
43,Halima Ifa Sihombing,+62844775315045,halimasihombing@gmail.com,"Plumbing Maintenance, Electrical Maintenance",2,,Gang Raya Ujungberung No. 2,Palangkaraya,4.0
44,Lanang Hesti Winarsih,+6282207433671,lanangwinarsih@gmail.com,"Computer Repair, Electrical Repair",13,Sertifikat Kompetensi BNSP Teknisi Komputer Spesialis Senior,Jalan Sadang Serang No. 7,Cilegon,4.0
45,Nalar Wijaya,+6281939996932,nalarwijaya@gmail.com,"Computer Installation, Electrical Installation",14,"Sertifikat Kompetensi BNSP Teknisi Komputer Spesialis Senior, Sertifikasi K3 Teknisi Listrik",Gg. Pelajar Pejuang No. 96,Jayapura,3.8
46,Jane Nababan,+6283754917233,janenababan@gmail.com,"Refrigerator Installation, Electrical Installation",4,,Jl. K.H. Wahid Hasyim No. 48,Payakumbuh,4.9
47,Icha Hutasoit,+62892193437239,ichahutasoit@gmail.com,"Washing Machine Installation, Refrigerator Repair",2,Sertifikasi LSP Elektronika Teknisi Mesin Cuci,Gang Sukabumi No. 7,Tanjungpinang,4.7
48,Rahayu Mulyani,+62849956113914,rahayumulyani@gmail.com,"AC Maintenance, Computer Repair",5,Sertifikasi Profesi Teknik Pendingin dan Tata Udara,Jl. Rajawali Timur No. 17,Bitung,4.1
49,Lasmono Wadi Nasyiah,+6289544544980,lasmononasyiah@gmail.com,"Plumbing Repair, Refrigerator Repair",3,,Jl. Joyoboyo No. 95,Bontang,5.0
50,Pia Lasmono Suryatmi,+62871702508885,piasuryatmi@gmail.com,"Computer Repair, Refrigerator Repair",10,,Gang Pasir Koja No. 86,Tangerang,4.0
51,Drajat Siregar,+6284701830637,drajatsiregar@gmail.com,"Washing Machine Maintenance, AC Maintenance",3,Sertifikasi Profesi Teknik Pendingin dan Tata Udara,Gg. Rajawali Barat No. 91,Kendari,4.2
52,Muni Napitupulu,+6283858125424,muninapitupulu@gmail.com,"AC Maintenance, Electrical Installation",13,"Sertifikasi Profesi Teknik Pendingin dan Tata Udara, Sertifikasi K3 Teknisi Listrik",Gang Pasir Koja No. 86,Purwokerto,4.4
53,Marwata Taufan Wibisono,+62879044253535,marwatawibisono@gmail.com,"Plumbing Maintenance, Refrigerator Installation",3,,Jl. Suryakencana No. 9,Pariaman,4.2
54,Cindy Winarno,+62889648887843,cindywinarno@gmail.com,"Computer Installation, Electrical Repair",4,,Jalan S. Parman No. 935,Bekasi,4.4
55,Gandi Kiandra Astuti,+62835975153683,gandiastuti@gmail.com,"Electrical Installation, Plumbing Repair",4,Sertifikasi K3 Teknisi Listrik,Gg. Cikutra Timur No. 84,Bima,4.3
56,Farhunnisa Sirait,+6281262314650,farhunnisasirait@gmail.com,"Plumbing Installation, Refrigerator Maintenance",1,,Jalan Moch. Ramdan No. 80,Kota Administrasi Jakarta Selatan,4.5
57,Murti Adinata Prastuti,+6283439338305,murtiprastuti@gmail.com,"Computer Installation, Refrigerator Installation",7,,Gg. Merdeka No. 5,Serang,4.6
58,Ibrani Tania Sudiati,+6285857662593,ibranisudiati@gmail.com,"AC Repair, Plumbing Installation",2,,Gg. Moch. Toha No. 24,Ambon,3.8
59,Maida Elon Uwais,+62827357379411,maidauwais@gmail.com,"Computer Installation, Refrigerator Maintenance",5,,Jl. Rajiman No. 322,Semarang,3.6
60,Yuliana Hardiansyah,+62855584508319,yulianahardiansyah@gmail.com,"Refrigerator Maintenance, Computer Maintenance",6,Sertifikat Kompetensi BNSP Teknisi Komputer Spesialis Senior,Jalan Sukabumi No. 742,Padang,3.7
61,Cemani Aryani,+62815929618123,cemaniaryani@gmail.com,"Refrigerator Maintenance, Electrical Repair",5,,Gg. Indragiri No. 28,Padang,4.7
62,Galur Darijan Prakasa,+6287680990754,galurprakasa@gmail.com,"Refrigerator Maintenance, Plumbing Maintenance",1,,Jalan Kendalsari No. 3,Pangkalpinang,3.8
63,Eluh Purwa Haryanti,+62879100175979,eluhharyanti@gmail.com,"Computer Installation, Plumbing Repair",1,,Gg. Yos Sudarso No. 920,Kota Administrasi Jakarta Utara,3.7
64,Rosman Pradipta,+6286502806050,rosmanpradipta@gmail.com,"Electrical Installation, Plumbing Repair",6,Sertifikat Kompetensi BNSP Teknisi Plumbing & Drainase,Jalan Abdul Muis No. 263,Samarinda,4.4
65,Bakiman Dwi Hutagalung,+6281082594475,bakimanhutagalung@gmail.com,"Refrigerator Repair, AC Repair",4,,Jl. Astana Anyar No. 62,Sabang,4.6
66,Baktianto Permadi,+62858106390787,baktiantopermadi@gmail.com,"Computer Repair, Electrical Repair",2,Sertifikat Kompetensi BNSP Teknisi Komputer Muda,Jalan Siliwangi No. 3,Bau-Bau,3.7
67,Endah Nuraini,+62862192575671,endahnuraini@gmail.com,"AC Maintenance, Refrigerator Installation",4,Sertifikasi Teknisi Refrigerasi dan Tata Udara,Gg. Moch. Ramdan No. 9,Bogor,4.6
68,Dalima Bahuraksa Fujiati,+6286058435131,dalimafujiati@gmail.com,"Refrigerator Repair, Electrical Installation",8,,Gang Joyoboyo No. 0,Solok,3.5
69,Anastasia Agustina,+6285622840539,anastasiaagustina@gmail.com,"AC Repair, Computer Maintenance",4,"Sertifikasi Profesi Teknik Pendingin dan Tata Udara, Sertifikat Kompetensi BNSP Teknisi Komputer Spesialis Senior",Gg. Raya Setiabudhi No. 132,Bitung,4.8
70,Waluyo Ellis Hariyah,+6282701992900,waluyohariyah@gmail.com,"Refrigerator Maintenance, Plumbing Repair",3,Sertifikasi Profesi Teknik Pendingin,Jalan Rajawali Barat No. 8,Batu,4.3
71,Nadia Irfan Puspasari,+6288304865647,nadiapuspasari@gmail.com,"Plumbing Installation, Electrical Maintenance",2,Sertifikasi K3 Teknisi Listrik,Jalan H.J Maemunah No. 7,Tomohon,4.0
72,Baktiadi Halima Fujiati,+6281583055392,baktiadifujiati@gmail.com,"Washing Machine Maintenance, AC Installation",14,,Gg. Kiaracondong No. 73,Serang,4.2
73,Taufik Lidya Maryati,+62868050982935,taufikmaryati@gmail.com,"Computer Repair, Electrical Maintenance",5,Sertifikat Kompetensi BNSP Teknisi Komputer Spesialis Senior,Jl. Rajiman No. 627,Pagaralam,4.2
74,Balidin Hartana Nurdiyanti,+6281672402650,balidinnurdiyanti@gmail.com,"AC Maintenance, Computer Maintenance",13,Sertifikasi Profesi Teknik Pendingin dan Tata Udara,Gg. Veteran No. 54,Bukittinggi,4.1
75,Rahayu Mulyani,+62895707398404,rahayumulyani@gmail.com,"Refrigerator Maintenance, Washing Machine Maintenance",1,Sertifikasi Profesi Teknik Pendingin,Gg. Veteran No. 55,Palangkaraya,3.8
76,Kiandra Dinda Yuliarti,+62877972927809,kiandrayuliarti@gmail.com,"AC Installation, Electrical Installation",3,Sertifikasi K3 Teknisi Listrik,Gg. Gegerkalong Hilir No. 35,Lubuklinggau,4.8
77,Baktiono Nasyidah,+62864034862690,baktiononasyidah@gmail.com,"Electrical Maintenance, Refrigerator Repair",4,Sertifikasi K3 Teknisi Listrik,Jalan Siliwangi No. 03,Probolinggo,3.9
78,Edward Cengkal Pradipta,+6284808211754,edwardpradipta@gmail.com,"Computer Maintenance, Refrigerator Maintenance",2,Sertifikasi Profesi Teknik Pendingin,Jl. Suryakencana No. 4,Palembang,4.2
79,Dasa Karya Wahyuni,+62841019256811,dasawahyuni@gmail.com,"Computer Installation, Refrigerator Maintenance",2,,Jl. Asia Afrika No. 30,Bekasi,3.8
80,Ikhsan Prasetyo,+6287193274432,ikhsanprasetyo@gmail.com,"Electrical Maintenance, Computer Installation",1,Sertifikasi K3 Teknisi Listrik,Jalan Kutisari Selatan No. 501,Bandar Lampung,4.3
81,Gara Dongoran,+6283361494593,garadongoran@gmail.com,"Electrical Installation, AC Installation",15,,Gang Surapati No. 363,Cirebon,3.9
82,Laila Suwarno,+62830025103140,lailasuwarno@gmail.com,"Computer Installation, Washing Machine Maintenance",15,Sertifikat Kompetensi BNSP Teknisi Komputer Muda,Jl. Setiabudhi No. 07,Langsa,4.9
83,Raditya Tirtayasa Lailasari,+6283548638670,radityalailasari@gmail.com,"Washing Machine Maintenance, Refrigerator Repair",2,,Gang Pacuan Kuda No. 551,Subulussalam,4.5
84,Emil Teguh Zulaika,+6285595013742,emilzulaika@gmail.com,"AC Maintenance, Electrical Maintenance",1,,Jl. Sentot Alibasa No. 1,Sibolga,4.0
85,Yoga Adika Narpati,+6282753036164,yoganarpati@gmail.com,"Plumbing Maintenance, Washing Machine Repair",14,Sertifikat Kompetensi BNSP Teknisi Plumbing & Drainase,Jl. Ahmad Dahlan No. 52,Bengkulu,4.5
86,Darmanto Utami,+6284439717803,darmantoutami@gmail.com,"Electrical Repair, Computer Repair",1,Sertifikat Kompetensi BNSP Teknisi Komputer Spesialis Senior,Jl. Sukajadi No. 71,Malang,4.2
87,Ani Oskar Tampubolon,+62853863981391,anitampubolon@gmail.com,"Computer Repair, Electrical Repair",5,Sertifikat Kompetensi BNSP Teknisi Komputer Muda,Jl. Gardujati No. 9,Tanjungbalai,3.8
88,Mariadi Ibrani Rahayu,+62831308944156,mariadirahayu@gmail.com,"Electrical Repair, Computer Repair",2,"Sertifikasi K3 Teknisi Listrik, Sertifikat Kompetensi BNSP Teknisi Komputer Muda",Gang Otto Iskandardinata No. 953,Kotamobagu,4.1
89,Nalar Galuh Wibowo,+62873881123902,nalarwibowo@gmail.com,"Plumbing Maintenance, Washing Machine Maintenance",1,"Sertifikat Kompetensi BNSP Teknisi Plumbing & Drainase, Sertifikasi LSP Elektronika Teknisi Mesin Cuci",Gg. M.H Thamrin No. 5,Depok,4.9
90,Sari Gunarto,+6284094279087,sarigunarto@gmail.com,"AC Installation, Computer Repair",15,,Jl. Otto Iskandardinata No. 0,Serang,3.9
91,Jefri Usamah,+6286318701419,jefriusamah@gmail.com,"Plumbing Installation, Washing Machine Repair",4,,Jl. Soekarno Hatta No. 196,Tegal,3.8
92,Luthfi Okta Winarno,+62818424469182,luthfiwinarno@gmail.com,"Computer Repair, Electrical Maintenance",7,,Jl. Dr. Djunjunan No. 22,Palopo,4.4
93,Winda Hidayanto,+6282619377044,windahidayanto@gmail.com,"Refrigerator Repair, Computer Repair",12,Sertifikasi Profesi Teknik Pendingin,Jalan Surapati No. 44,Lhokseumawe,4.1
94,Ina Saiful Winarno,+6281479341576,inawinarno@gmail.com,"Electrical Maintenance, Washing Machine Maintenance",15,,Jalan Rajawali Barat No. 6,Balikpapan,4.4
95,Jarwi Ozy Maryati,+6284549775747,jarwimaryati@gmail.com,"Plumbing Installation, Washing Machine Repair",4,,Gang Kiaracondong No. 743,Sukabumi,4.0
96,Erik Zulfa Sihombing,+6282593018065,eriksihombing@gmail.com,"Washing Machine Maintenance, AC Repair",6,,Jl. Asia Afrika No. 407,Sorong,4.6
97,Darmana Gantar Damanik,+6286186869506,darmanadamanik@gmail.com,"Washing Machine Maintenance, AC Maintenance",5,Sertifikasi LSP Elektronika Teknisi Mesin Cuci,Gang Jend. Sudirman No. 03,Balikpapan,4.2
98,Mahdi Kawaca Yuliarti,+6289055771425,mahdiyuliarti@gmail.com,"Refrigerator Repair, AC Installation",5,,Gang Joyoboyo No. 88,Pematangsiantar,4.5
99,Cakrawala Sabri Prayoga,+6281228992210,cakrawalaprayoga@gmail.com,"Refrigerator Maintenance, Computer Installation",1,,Jalan Waringin No. 590,Pangkalpinang,4.6
100,Unjani Zulkarnain,+62822248482975,unjanizulkarnain@gmail.com,"Washing Machine Repair, Plumbing Repair",3,,Jl. Cikutra Timur No. 484,Pagaralam,3.6
101,Marwata Amelia Hastuti,+62855721092332,marwatahastuti@gmail.com,"Washing Machine Maintenance, Plumbing Repair",4,SKA Ahli Teknik Plambing dan Pompa Mekanika,Gg. Gardujati No. 80,Palangkaraya,4.1
102,Nurul Cengkir Maulana,+6289460615812,nurulmaulana@gmail.com,"Refrigerator Repair, AC Maintenance",2,,Jalan Ahmad Yani No. 867,Manado,3.7
103,Gandi Unggul Kurniawan,+62854215330840,gandikurniawan@gmail.com,"Computer Installation, Electrical Repair",5,Sertifikat Kompetensi BNSP Teknisi Komputer Muda,Gang Stasiun Wonokromo No. 061,Bandar Lampung,4.5
104,Garda Hakim,+62833082189572,gardahakim@gmail.com,"AC Installation, Refrigerator Installation",1,,Gang Jend. A. Yani No. 54,Palu,3.6
105,Cinthia Mahendra,+62897934531617,cinthiamahendra@gmail.com,"Plumbing Maintenance, AC Repair",5,,Gg. M.H Thamrin No. 924,Tebingtinggi,4.3
106,Darman Silvia Nuraini,+6287511720426,darmannuraini@gmail.com,"Electrical Installation, AC Installation",3,Sertifikasi K3 Teknisi Listrik,Gang Setiabudhi No. 95,Bima,4.8
107,Pangeran Hutasoit,+6285585719245,pangeranhutasoit@gmail.com,"Plumbing Maintenance, Computer Repair",2,Sertifikat Kompetensi BNSP Teknisi Plumbing & Drainase,Jalan Medokan Ayu No. 9,Sawahlunto,4.4
108,Ratih Vanesa Hasanah,+62832553450005,ratihhasanah@gmail.com,"Plumbing Maintenance, Computer Maintenance",13,,Gg. KH Amin Jasuta No. 672,Sabang,4.4
109,Unjani Halim Saptono,+62859938466230,unjanisaptono@gmail.com,"Computer Installation, Electrical Installation",3,Sertifikasi K3 Teknisi Listrik,Gang Tubagus Ismail No. 96,Pekanbaru,4.5
110,Galih Sitompul,+62828520476588,galihsitompul@gmail.com,"Washing Machine Installation, Plumbing Maintenance",7,,Gg. Ciwastra No. 546,Pasuruan,3.9
111,Wisnu Agustina,+62880696360138,wisnuagustina@gmail.com,"Washing Machine Repair, Electrical Repair",6,Sertifikasi LSP Elektronika Teknisi Mesin Cuci,Gang Raya Ujungberung No. 22,Bukittinggi,3.5
112,Endah Permadi,+6283317820630,endahpermadi@gmail.com,"Electrical Maintenance, Washing Machine Maintenance",2,,Gang Suniaraja No. 44,Dumai,3.9
113,Ganda Haryanti,+62895823323067,gandaharyanti@gmail.com,"Refrigerator Installation, Electrical Installation",4,Sertifikasi Teknisi Refrigerasi,Jalan Kebonjati No. 19,Pematangsiantar,4.8
114,Halim Rahmawati,+62885708324564,halimrahmawati@gmail.com,"Washing Machine Repair, Refrigerator Repair",5,"Sertifikasi LSP Elektronika Teknisi Mesin Cuci, Sertifikasi Teknisi Refrigerasi",Jalan Yos Sudarso No. 655,Bogor,3.9
115,Irma Carub Tamba,+6285542862221,irmatamba@gmail.com,"Refrigerator Maintenance, Computer Installation",4,,Gang W.R. Supratman No. 55,Yogyakarta,4.6
116,Najam Haryanto,+6284515542634,najamharyanto@gmail.com,"AC Installation, Electrical Maintenance",1,Sertifikasi K3 Teknisi Listrik,Gg. Pasirkoja No. 53,Tidore Kepulauan,3.8
117,Nugraha Uwais,+62877017219538,nugrahauwais@gmail.com,"Plumbing Maintenance, Computer Repair",4,,Jalan Raya Setiabudhi No. 31,Subulussalam,4.3
118,Balangga Simanjuntak,+62873072487535,balanggasimanjuntak@gmail.com,"Washing Machine Repair, Computer Maintenance",1,Sertifikat Kompetensi BNSP Teknisi Komputer Spesialis Senior,Jl. Pasirkoja No. 03,Tegal,4.3
119,Kiandra Novitasari,+62851857398618,kiandranovitasari@gmail.com,"Computer Maintenance, Washing Machine Installation",1,,Gang Gedebage Selatan No. 410,Magelang,4.1
120,Nadine Sitompul,+62840893961028,nadinesitompul@gmail.com,"Refrigerator Repair, Plumbing Maintenance",5,,Gang M.T Haryono No. 107,Madiun,4.9
121,Najam Tirta Novitasari,+6283741949601,najamnovitasari@gmail.com,"Refrigerator Maintenance, Computer Repair",4,Sertifikasi Profesi Teknik Pendingin,Gang Pacuan Kuda No. 8,Palu,3.7
122,Luhung Puspasari,+62896859133987,luhungpuspasari@gmail.com,"Refrigerator Repair, AC Repair",11,,Jalan Ciwastra No. 72,Probolinggo,4.7
123,Rahmat Winarno,+62856112785695,rahmatwinarno@gmail.com,"Refrigerator Maintenance, Computer Installation",2,Sertifikasi Profesi Teknik Pendingin,Jl. KH Amin Jasuta No. 685,Prabumulih,3.8
124,Gatra Mitra Natsir,+6283390535179,gatranatsir@gmail.com,"Electrical Installation, AC Installation",5,,Jalan Cihampelas No. 33,Semarang,4.7
125,Nrima Fujiati,+6289850655077,nrimafujiati@gmail.com,"Computer Installation, AC Maintenance",6,Sertifikat Kompetensi BNSP Teknisi Komputer Spesialis Senior,Jalan Suniaraja No. 9,Padang,3.6
126,Ami Nasyiah,+6288128790050,aminasyiah@gmail.com,"Computer Installation, Washing Machine Maintenance",4,,Jl. Peta No. 24,Pangkalpinang,5.0
127,Vanya Sirait,+6282566081575,vanyasirait@gmail.com,"Computer Repair, Plumbing Maintenance",11,,Jalan Kiaracondong No. 840,Manado,4.7
128,Zamira Raina Wasita,+6283384984009,zamirawasita@gmail.com,"AC Installation, Electrical Installation",5,Sertifikasi Profesi Teknik Pendingin dan Tata Udara,Gang K.H. Wahid Hasyim No. 66,Bandar Lampung,4.0
129,Ganep Yuniar,+62863206025851,ganepyuniar@gmail.com,"Electrical Maintenance, AC Maintenance",3,Sertifikasi K3 Teknisi Listrik,Gg. Surapati No. 18,Tegal,4.9
130,Gara Purnawati,+62814400898950,garapurnawati@gmail.com,"Electrical Repair, Washing Machine Installation",3,Sertifikasi K3 Teknisi Listrik,Jalan Ahmad Yani No. 431,Madiun,4.1
131,Jaya Gunawan,+6287711006096,jayagunawan@gmail.com,"Refrigerator Maintenance, Electrical Repair",1,Sertifikasi K3 Teknisi Listrik,Jl. Rungkut Industri No. 95,Mojokerto,4.0
132,Galih Saragih,+6284500229290,galihsaragih@gmail.com,"Computer Maintenance, Refrigerator Installation",14,"Sertifikat Kompetensi BNSP Teknisi Komputer Spesialis Senior, Sertifikasi Profesi Teknik Pendingin",Gg. Laswi No. 57,Banjarbaru,4.6
133,Margana Anita Prasetyo,+6287243661747,marganaprasetyo@gmail.com,"Refrigerator Maintenance, Computer Repair",3,Sertifikat Kompetensi BNSP Teknisi Komputer Spesialis Senior,Jl. M.H Thamrin No. 16,Metro,4.8
134,Zizi Wacana,+6289442710264,ziziwacana@gmail.com,"Plumbing Installation, Washing Machine Maintenance",1,Sertifikasi LSP Elektronika Teknisi Mesin Cuci,Jl. Rumah Sakit No. 069,Magelang,4.5
135,Atmaja Luhung Pratama,+6285506089447,atmajapratama@gmail.com,"AC Maintenance, Washing Machine Installation",3,,Jl. Ir. H. Djuanda No. 39,Ambon,4.0
136,Jarwadi Pradana,+62861619190844,jarwadipradana@gmail.com,"Computer Maintenance, AC Repair",1,,Jl. Yos Sudarso No. 16,Pagaralam,4.1
137,Dwi Wastuti,+6289141990246,dwiwastuti@gmail.com,"Plumbing Maintenance, Electrical Maintenance",4,Sertifikasi K3 Teknisi Listrik,Jl. M.H Thamrin No. 3,Pekalongan,4.3
